id,iso,country,country_wide,adm1,adm1_eng_name,months,event,event_type,label,comment,source,source_date,source_link
129,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['July', 'August']",['2nd harvest'],['Harvest'],['Rice'],Rice 2nd Harvest,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
130,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['November', 'December']",['3rd harvest'],['Harvest'],['Rice'],Rice 3rd Harvest,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
131,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['February', 'March']",['2nd harvest'],['Harvest'],['Maize'],Maize (Rainy S.) 2nd harvest,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
132,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['April', 'May', 'June', 'July']",['Planting and growing'],['Planting and growing'],['Maize'],Maize (Dry S.) 1st sowing and growing season,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
133,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['October', 'November', 'December', 'January']",['Planting and growing'],['Planting and growing'],['Maize'],Maize (Rainy S.) 2nd sowing and growing season,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
134,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['October', 'November', 'December', 'January']",['Planting and growing'],['Planting and growing'],['Rice'],Rice 1st sowing and growing season,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
135,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['April', 'May', 'June']",['Planting and growing'],['Planting and growing'],['Rice'],Rice 2nd sowing and growing season,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
136,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['August', 'September', 'October']",['Planting and growing'],['Planting and growing'],['Rice'], Rice 3rd sowing and growing season,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
137,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['January', 'February']",['Lean season'],['Lean season'],['Lean season'],Lean Season ,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
1581,['GRC'],['Greece'],True,"GRC.1_1, GRC.2_1, GRC.3_1, GRC.4_1, GRC.5_1, GRC.6_1, GRC.7_1, GRC.8_1",,"['March', 'April']",['1st/main planting'],['Planting and growing'],['Cotton'],Cotton planting,USDA,2022-06-10,https://ipad.fas.usda.gov/rssiws/al/crop_calendar/europe.aspx
